source	target	weight
98600	2215	2900.0
98600	2592	0.01
98600	2819	12.0
98600	2523	0.0
98600	2760	3.0
98600	2800	0.01
98600	2776	0.0
98600	2684	0.01
98600	3208	4.5
98600	3003	0.0
98600	1886	4.2
98600	2930	0.0
98600	2323	13.0
98600	2631	1.8
98600	1899	2.0
98600	2171	1.2
98600	3203	0.0
98600	2435	0.0
98600	2230	0.0
98600	2084	0.0
98600	3064	0.005
98600	3256	13.15
98600	2913	0.0
98600	3043	0.0
98600	2448	0.0
98600	2833	10.5
98600	2566	0.0
98600	2140	0.0
98600	2244	0.01
98600	2254	7.975
98600	2765	77.5
98600	2931	4.8
98600	2601	3.25
98600	1738	0.905
98600	2540	7.9
98600	2424	1405.75
98600	2932	28.45
98600	2287	1.905
98600	2415	1.15
98600	2578	0.0
98600	2954	12.175
98600	2642	0.01
98600	2316	0.0
98600	3173	4.5
98600	2983	0.0
98600	2032	3.8
98600	3162	6.95
98600	2799	0.0
98600	2895	0.0
98600	3282	0.0
98600	1892	0.0
98600	2524	74.05
98600	2374	0.01
98600	2379	1.0
98600	3095	0.1525
98600	2164	6.5
98600	2563	23.975
98600	2933	6.25
98600	3101	81.25
98600	2806	0.01
98600	3086	0.0
98600	2206	2.9
98600	1817	1.5
98600	3191	80.725
98600	2240	14.55
98600	2393	0.0
97417	3209	18500.0
97417	1837	0.0
97417	1813	0.0
97417	3163	0.0
97417	2113	0.015
97417	1729	0.0
97417	1762	0.006
97417	2781	0.0
97417	1780	0.0
97417	1999	1.0
97417	2748	0.0
97417	2730	0.04
97417	2156	0.2
97417	1903	1.915
97417	2055	0.35
97417	1968	0.9
97417	3257	4.5
97417	2863	0.002
97417	2532	0.01
97417	2017	0.0
97417	1855	500.0
97417	2554	360.0
97417	2082	50.0
97417	2877	325.0
97417	2006	0.8
97417	2843	0.1
97417	3166	0.7
97417	3030	0.06
97417	3126	0.0
97417	2396	0.0
97417	1759	0.14
97417	2755	0.0
97417	2310	0.0
97417	2620	0.0
97417	2658	0.0
97417	2024	0.0
97417	2643	0.0
97417	3239	0.0
97417	1980	0.0
97417	2342	0.0
97417	1728	0.0
97417	3246	0.0
97417	2674	0.0
97417	2630	0.0
97417	3183	0.0
97417	2846	0.0
97417	3190	0.0
97417	2897	0.0
97417	2416	0.0
97417	3112	0.0
97417	1914	0.0
97417	1767	0.0
97417	2269	0.0
97417	2173	0.0
97417	1791	0.0
97417	1805	60.0
97417	1764	950.0
97417	1735	1700.0
97417	3123	1900.0
97417	1881	620.0
97417	2797	220.0
97417	2864	690.0
97417	3146	890.0
97417	2660	230.0
97417	3182	1200.0
97417	2500	590.0
97417	1874	1200.0
97417	3017	2100.0
97417	1887	3100.0
97417	2927	980.0
97417	1792	720.0
97417	2666	850.0
98440	3209	4225.0
98440	2438	0.0
98440	2638	0.0
98440	1837	0.0
98440	3239	10560.0
98440	1813	0.0
98440	2620	0.0
98440	2310	0.0
98440	2658	740.0
98440	2024	220.0
98440	3163	0.0
98440	1911	0.0
98440	2747	0.0
98440	2643	955.0
98440	2670	0.0
98440	2082	46.0
98440	2006	0.905
98440	2877	72.0
98440	2554	78.0
98440	1855	318.5
98440	3166	0.5
98440	2843	0.278
98440	3126	0.222
98440	1759	0.0104999999999999
98440	2113	0.017
98440	1729	0.005
98440	2480	0.0
98440	1999	0.025
98440	1762	0.0
98440	3072	0.0
98440	2729	0.0
98440	2017	0.0
98440	2458	0.0885
98440	2156	0.15
98440	1903	1.1145
98440	1968	0.102
98440	2055	0.037
98440	2863	0.01175
98440	2532	7.999999999999999e-05
98440	2335	5.4
98440	2748	0.0002
98440	2363	43.2
98440	1805	13.0
98440	1980	0.0
98440	2342	0.0
98440	1728	66.0
98440	3246	88.0
98440	1791	0.0
98440	2173	0.0
98440	2674	0.0
98440	2630	0.0
98707	2335	25.0
98707	1903	1.15
98707	2017	69.35
98707	1718	140.0
98707	2082	50.0
98707	2554	362.75
98707	1855	84.75
